Plot;Trt;Species;Sp_code;X1999;X2000;X2001;X2002;X2003;X2004;X2005;X2006;X2007;X2008;X2009;X2010;X2011;X2012;X2013;X2014
1;UR;Achillea ptarmica;AchiPtar;4.21;3.86;2.1;0.1873;0.0838;0;0;3.863;0.184;0.008;0.016;0;0.191;0.131;0.137;0.048
1;UR;Agrostis canina;AgroCani;0;0.01;0.02;0;0.0829;0.037;0;0.01;0.223;0.486;0.643;0.085;0.402;0.036;0.093;0.799
1;UR;Agrostis tenuis (Syn. A.capilaris);AgroTenu;0;0;0;0;0;0;0.038;0;1.738;0;0.174;0.072;0.164;0.508;0;0.502
1;UR;Ajuga reptans;AjugRept;0.09;0;0.14;0.0201;0.1012;0.056;0.018;0;0;0.087;0.127;0.005;0;0;0.034;0
1;UR;Angelica sylvestris;AngeSylv;0.23;0.86;0.3;0;0;0;0;0.868;0;0;0;0;0;0;0;0
1;UR;Anthoxanthum odoratum;AnthOdor;1.75;2.09;3.17;3.422;2.646;0.064;0.881;2.103;1.095;0.506;1.633;2.795;0.445;0.795;3.136;3.068
1;UR;Betonica officinalis;BetoOffi;0;5.96;0;0;0;0;0.007;0;0;0;0.014;0;0.005;0.04;0.114;0.307
1;UR;Briza media;BrizMedi;2.89;3.08;7.42;1.19;1.898;0.456;1.774;3.135;1.564;2.945;1.188;0.127;1.225;1.132;1.271;3.925
1;UR;Cardamine pratensis;CardPrat;0.04;0.01;0;0.0024;0;0.008;0.007;0.021;0;0;0.014;0;0;0;0;0
1;UR;Carex echinata (Syn. C. stelulata);CareEchi;0.05;0.02;0.02;0;0;0;0;0.029;0;0;0;0;0;0;0;0
1;UR;Carex hartmanii;CareHart;2.8;0.64;0.7;1.586;5.59;2.671;2.442;0.68;1.028;1.392;1.71;7.372;7.366;4.38;6.272;1.713
1;UR;Carex leporina;CareLepo;0.2;0.15;0;0.1881;0;0;0;0.122;0;0;0.06;0;0;0;0;0
1;UR;Carex nigra;CareNigr;0.43;0.28;0.23;0.0708;1.027;0.307;0;0.309;0.087;0.065;0.175;0.456;2.195;0;0.603;0.487
1;UR;Carex palescens;CarePall;0.12;0.13;0;0;0;0.063;0.006;0.128;0.49;0.224;1.098;2.314;1.415;0.837;3.311;2.825
1;UR;Carex panicea;CarePani;21;6.22;6.54;5.226;10.853;6.402;4.298;6.223;5.6;2.955;4.036;10.972;6.404;2.936;4.311;3.851
1;UR;Carex piluliferra;CarePilu;0.74;0.97;1.89;1.835;2.669;0.994;0.989;1.009;2.618;0.509;0.707;2.357;1.854;1.486;1.166;2.385
1;UR;Carex pulicaris;CarePuli;0.3;0.61;0.3;0.0399;0.1661;0.09;0.006;0.636;0.149;0.046;0.189;0.218;0.389;0.453;0.494;0.783
1;UR;Carex umbrosa;CareUmbr;0;0;0;0;0;0;0;0;0;0;0;0;0;0.373;0.382;0.12
1;UR;Centaurea jacea;CentJace;0;0;0;0.0171;0;0;0;0;0;0;0;0;0;0;0;0
1;UR;Cerastium vulgare (Syn. C. holosteoides);CeraHolo;0;0;0;0.0041;0;0;0.007;0;0;0;0;0;0;0;0;0
1;UR;Cirsium palustre;CirsPalu;1.21;4.12;6.61;33.053;2.643;2.311;12.8;4.095;0;0.012;0;0;0;0;0;0
1;UR;Cynosurus cristatus;CynCris;0;0.01;0.15;0;0;0;0;0.034;0;0;0;0;0;0;0;0
1;UR;Danthonia decumbens (Syn. Sieglingia decumbens);DantDecu;0.4;0.66;1.43;0.4434;0.8151;1.727;2.325;0.641;3.478;2.014;1.835;1.044;2.546;2.127;0;6.352
1;UR;Deschampsia cespitosa;DescCesp;0;0;0;0;0;0;0;0;0;0;0;0;0.068;0.217;0.072;0.058
1;UR;Festuca ovina;FestOvin;0.08;0;0;0;0;0.042;0;0;0;0.063;0.067;0;0;0;0;0
1;UR;Festuca pratensis;FestPrat;1.11;0.85;1.9;0.774;0.6183;0;0;0.84;0;0;0.085;0;0;0;0.501;0
1;UR;Festuca rubra;FestRubr;5.45;3.57;6.09;4.53;5.071;0.815;1.838;3.58;1.989;3.068;3.188;1.019;1.564;2.283;2.542;4.148
1;UR;Galium palustre;GaliPalu;0.67;0.77;0.28;0.0462;0;0;0.14;0.758;0;0.039;0;0;0.014;0;0.004;0
1;UR;Galium uliginosum;GaliUlig;0;0;0;0;0.0698;0;0;0;0.065;0.034;0.027;0.028;0.016;0.019;0;0.053
1;UR;Helictotrichon pubescens (Syn. Avenula pubescens);HeliPube;0;0;0;0;0;0;0;0;0;0.147;0.102;0;0;0;0;0
1;UR;Holcus lanatus;HolcLana;1.39;1.6;1.61;0.4017;0.197;0.57;1.421;1.583;1.629;1.674;3.021;2.032;3.38;3.815;1.693;0.601
1;UR;Juncus effusus;JuncEffu;0.84;0.58;0.77;1.024;4.817;0.891;0.813;0.607;0.704;0.644;0.404;7.152;5.565;2.945;4.562;1.968
1;UR;Lathyrus pratensis;LathPrat;0.45;0.49;0.07;0.0616;0.0295;0;0;0.488;0.034;0.208;0.113;0.216;0.127;0.491;0.142;0.255
1;UR;Luzula multiflora ;LuzuMult;0.17;0.14;0.59;0.43;0.2206;0.065;0.01;0.12;0.044;0.187;0.202;0.058;0.11;0.448;0.213;0.049
1;UR;Lychnis flos-cuculi;LychFlos;0;0.04;0;0.002;0.0932;0;0;0.039;0;0;0;0.045;0;0.007;0.143;0.063
1;UR;Lysimachia vulgaris;LysiVulg;2.22;3.46;3;2.707;1.315;1.592;0.131;3.493;0.249;0.046;0.133;0.062;0.203;0.211;0.354;0.167
1;UR;Molinia caerulea;MoliCaeru;0.2;0.63;0.16;0.475;0.928;2.377;0.205;0.615;6.969;8.91;8.356;5.811;4.879;4.801;6.129;2.413
1;UR;Myosotis nemorosa;MyosNemo;0.07;0.02;0.11;0.0118;0.0806;0.034;0.121;0.04;0;0;0;0;0;0;0;0
1;UR;Nardus stricta;NardStri;7.23;4.49;5.94;0.5898;0.1158;1.465;1.873;4.528;5.149;5.145;5.286;3.275;4.199;3.39;1.009;0.731
1;UR;Poa trivialis;PoaTriv;0;0;0;0;0;0;0;0;0;0;0.015;0;0;0;0;0
1;UR;Potentilla erecta;PoteErec;6.25;6.63;12.2;14.569;6.228;16.515;7.89;6.645;7.806;3.847;2.736;1.061;2.408;2.231;0.908;2.18
1;UR;Prunella vulgaris;PrunVulg;1.31;2.86;1.77;0.57;0.409;0.052;0.009;2.848;0.008;0.036;0.121;0.069;0.094;0.018;0.031;0.041
1;UR;Ranunculus acer (Syn. R. acris);RanuAcri;0.67;0.69;3.91;0.0589;0.2555;0.52;1.001;0.705;0.693;0.576;0.621;0.445;1.859;2.781;2.366;1.981
1;UR;Ranunculus auricomus;RanuAuri;0;0.01;0.02;0;0.0822;0.057;0;0.035;0;0.02;0;0;0;0;0;0
1;UR;Ranunculus flamula;RanuFlam;0.21;0.17;0.26;0.0839;0;0;0.024;0.116;0;0;0.056;0.193;0;0;0;0.028
1;UR;Ranunculus nemorosus;RanuNemo;0;0.02;0;0;0;0;0;0.018;0;0.016;0;0.004;0;0;0;0
1;UR;Rumex acetosa;RumeAcet;0;0;0;0.0072;0;0;0;0;0.009;0.009;0.004;0.022;0.032;0.092;0.035;0.05
1;UR;Sanguisorba officinalis;SangOffi;0;0;0;0;0;0;0;0;0;0;0.005;0.007;0.053;0.357;0.257;0.443
1;UR;Scirpus sylvaticus;ScirSylv;4.12;1.84;1.22;1.188;4.243;1.943;0.881;1.825;0.354;0.068;0.461;0.049;0;0;0;0
1;UR;Scorzonera humilis;ScorHumi;0.88;0.88;1.7;0.5722;0;0.258;0.396;0.902;0.041;0.272;0.414;0;0.032;0.159;0;0.094
1;UR;Selinum carvifolia;SeliCarv;0.29;0.43;1.03;0.2393;0.091;0;0;0.421;0;0.008;0.009;0.126;0;0.075;0;0
1;UR;Senecio rivularis (Syn. Tephroseris crispa);SenRivu;0;0.28;0.03;0;0;0;0;0.262;0;0;0;0;0;0;0;0
1;UR;Succisa pratensis;SuccPrat;0;0.01;0.16;0.0575;0.1555;0.375;0.022;0.007;0;0.17;0.501;1.472;3.154;6.267;3.44;2.542
